NAME,COUNTRY,PROVIDER,ADDRESSS
NTT Port Melbourne,australia,NTT Global Data Centers,"840 Lorimer Street, Port Melbourne Victoria 3207, Australia"
PER01 Perth Data Center,australia,Stack Infrastructure,"Wangara WA, Australia"
Brisbane Data Center,australia,Polaris Data Centre,"11 Mary Mackenroth Ln, Springfield Central QLD 4300, Australia"
DC2 Hawthorn Data Center,australia,Your DC,"60 Belair Rd, Hawthorn SA 5062, Australia"
SC1 Sunshine Coast Data Center,australia,NexTDC,"44 Maud Street, Maroochydore QLD, Australia"
Melbourne Data Center,australia,TPG telecom,"530 Collins Street, Melbourne VIC 3000, Australia"
Sydney Data Center,australia,Summit,"Gardeners Road, Mascot Sydney, NSW 2020, Australia"
EC11 Brisbane Data Center,australia,Edge Centres,"53 Brandl St, Eight Mile Plains QLD 4113, Australia"
MEL1 Melbourne Data Center Campus,australia,Vantage Data Centers,"Tullamarine VIC, Australia"
1 William Street Data Center,australia,Vocus Communications,"1 William Street, Perth WA, Australia"
Australia Data Center,australia,Kyndryl,"George Street, Sydney NSW 2000, Australia"
Hume Campus Three,australia,CDC Data Centres,"7 Tralee Street, Hume ACT 2620, Australia"
Clayton Data Centre,australia,Telstra,"1842 Dandenong Rd, Clayton VIC 3168, Australia"
SYD01 Sydney Australia,australia,IBM Cloud,"Sydney NSW, Australia"
SYD2 Sydney Data Center,australia,Rackspace,"1-11 Templar Rd, Erskine Park NSW 2759, Australia"
Wollongong Data Center,australia,CenterServ,"1 Burelli Street, Wollongong NSW, Australia"
Brisbane Data Centre,australia,5G Networks,"42 Amelia Street, Fortitude Valley QLD 4006, Australia"
"AAPT, Glebe, Australia",australia,AAPT,"Glebe Corps, Ross Street, Forest Lodge New South Wales 2037, Australia"
Sydney SYD11 Data Center,australia,Digital Realty,"13 Templar Rd, Erskine Park NSW, Australia"
Sydney West Data Center,australia,Global Switch,"400 Harris Street, Ultimo Sydney, NSW 2007, Australia"
C1 Canberra Data Center,australia,NexTDC,"19 Battye Street, Bruce ACT, Australia"
Vocus Group Melbourne 2,australia,Vocus Communications,"530 Collins Street, Melbourne VIC, Australia"
ME1 - ME1 Melbourne Data Center PoP,australia,MOD Mission Critical,"578 Lorimer Street, Port Melbourne VIC, Australia"
Knoxfield Data Center,australia,Telstra,"573 Burwood Hwy, Knoxfield VIC 3180, Australia"
Woolloongabba Data Center,australia,Telstra,820 Main Street
Queensland,australia,Fujitsu,"level 13/66 Eagle St, Brisbane City Brisbane, QLD 4000, Australia"
Erskine Park Data Center,australia,Stack Infrastructure,"78 Lockwood Rd, Erskine Park NSW 2759, Australia"
Vocus Group Melbourne 1,australia,Vocus Communications,"55 King Street, Melbourne VIC, Australia"
Sydney,australia,Latitude.sh,"400 Harris St, Ultimo NSW 2007, Australia"
Victoria,australia,Fujitsu,"level 7/664 Collins Street, Docklands Melbourne, VIC 3008, Australia"
Hume Campus Four,australia,CDC Data Centres,"7 Tralee Street, Hume ACT 2620, Australia"
Melbourne Data Center,australia,Otava,"Melbourne VIC, Australia"
Sydney Data Center,australia,Otava,"Melbourne VIC, Australia"
CFS1 Coffs Harbour Data Center,australia,Leading Edge Data Centres,"Coffs Harbour NSW, Australia"
Sydney CBD Data Centre IC1,australia,Macquarie Data Centres,"level 16/477 Pitt Street, Haymarket Sydney, NSW 2000, Australia"
Sydney 01 Data Center,australia,DCI Data Centers,"Eastern Creek NSW, Australia"
EC5 Albury Data Center,australia,Edge Centres,"466 David St, Albury NSW 2640, Australia"
Macquarie Park Data Centre Campus - IC3 Super West,australia,Macquarie Data Centres,"17-23 Talavera Road, Macquarie Park NSW 2113, Australia"
DC1 Edinburgh Parks Data Center,australia,Your DC,"Edinburgh SA 5111, Australia"
Perth Data Center,australia,Telstra,"3 Tully Road, East Perth Western Australia, Australia"
Melbourne Data Center,australia,Telstra,"22-36 Walsh Street, West Melbourne VIC 3003, Australia"
WGA1 Wagga Wagga Data Center,australia,Leading Edge Data Centres,"Wagga Wagga NSW, Australia"
Western Australia,australia,Fujitsu,"level 32/152 St Georges Terrace, Perth WA 6000, Australia"
Brisbane City Data Center,australia,TPG telecom,"123 Eagle Street, Brisbane City Queensland, Australia"
"AAPT, Adelaide, Australia",australia,AAPT,"Australian Nurse Practitioner Student Placement Agency (ANPSPA), Level 1 Pirie Street, Adelaide SA 5000, Australia"
Brisbane BNE4 Data Center,australia,DigiCo Infrastructure REIT,"2-4 Cycas Lane, Brisbane Airport QLD 4008, Australia"
"SYD04 Sydney, Australia",australia,IBM Cloud,"Sydney NSW, Australia"
CA1 Canberra Data Center,australia,Equinix,"51 Dacre Street, Mitchell ACT 2911, Australia"
"AAPT, Brisbane, Australia",australia,AAPT,"level 8/123 Eagle Street, Brisbane City QLD 4000, Australia"
