Name,Quantity,Discount,Price,Link
Amla,1 kg,24% OFF,₹134.52,bigbasket.com/pd/10000332/fresho-amla-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=11&t_s=Amla
Thai Guava - Pink Centre,N/A,20% OFF,₹49.6,bigbasket.com/pd/40123767/fresho-guava-pink-1-pc-approx-300-400-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=12&t_s=Thai%2520Guava%2520-%2520Pink%2520Centre
Tender Coconut - Small,N/A,22% OFF,₹67.5,bigbasket.com/pd/40073760/fresho-tender-coconut-small-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=13&t_s=Tender%2520Coconut%2520-%2520Small
Parwal,500 g,27% OFF,₹40,bigbasket.com/pd/10000366/fresho-parwal-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=14&t_s=Parwal
Garlic - Peeled,200 g,N/A,₹117,bigbasket.com/pd/30005201/fresho-garlic-peeled-200-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=15&t_s=Garlic%2520-%2520Peeled
Palak - Organically Grown,250 g,N/A,₹34.45,bigbasket.com/pd/40050066/fresho-palak-organically-grown-250-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=16&t_s=Palak%2520-%2520Organically%2520Grown
"Tomato - Local, Organically Grown",1 kg,29% OFF,₹60,bigbasket.com/pd/40130385/fresho-tomato-local-organically-grown-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=17&t_s=Tomato%2520-%2520Local%252C%2520Organically%2520Grown
Beans - Cowpea,500 g,24% OFF,₹41.04,bigbasket.com/pd/10000275/fresho-beans-cowpea-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=18&t_s=Beans%2520-%2520Cowpea
"Tomato - Hybrid, Organically Grown",1 kg,34% OFF,₹67,bigbasket.com/pd/50000557/fresho-tomato-hybrid-organically-grown-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=19&t_s=Tomato%2520-%2520Hybrid%252C%2520Organically%2520Grown
Coloured Capsicum Mix,N/A,20% OFF,₹56.8,bigbasket.com/pd/40287310/fresho-coloured-capsicum-mix-350-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=20&t_s=Coloured%2520Capsicum%2520Mix
Watermelon - Small,N/A,20% OFF,₹101.6,bigbasket.com/pd/10000207/fresho-watermelon-small-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=21&t_s=Watermelon%2520%2520-%2520Small
Spring Onion - With roots,N/A,20% OFF,₹16.8,bigbasket.com/pd/20000981/fresho-spring-onion-with-roots-100-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=22&t_s=Spring%2520Onion%2520-%2520With%2520roots
